#RIC,Date-Time,Type,Price,Volume,Bid Price,Bid Size,Ask Price,Ask Size,direction
GSK.L,2011-02-01T16:16:22.854516000Z,Quote,,,1144.5,1823,1145,19520,0
GSK.L,2011-02-01T16:16:23.584705000Z,Quote,,,1144.5,1823,1145,19120,0
GSK.L,2011-02-01T16:16:23.584705000Z,Quote,,,1144.5,1823,1145,18720,0
GSK.L,2011-02-01T16:16:23.584705000Z,Quote,,,1144.5,2413,1145,18720,0
GSK.L,2011-02-01T16:16:24.256291000Z,Quote,,,1144.5,3162,1145,18720,0
GSK.L,2011-02-01T16:16:24.540804000Z,Quote,,,1144.5,3162,1145,18342,0
GSK.L,2011-02-01T16:16:24.605324000Z,Quote,,,1144.5,3162,1145,17942,0
GSK.L,2011-02-01T16:16:24.637456000Z,Quote,,,1144.5,3418,1145,17942,0
GSK.L,2011-02-01T16:16:25.306236000Z,Quote,,,1144.5,4087,1145,17942,0
GSK.L,2011-02-01T16:16:26.252527000Z,Quote,,,1144.5,4637,1145,17942,0
GSK.L,2011-02-01T16:16:26.884919000Z,Quote,,,1144.5,4637,1145,16487,0
GSK.L,2011-02-01T16:16:27.683079000Z,Trade,1145,333,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:27.683079000Z,Quote,,,1144.5,4637,1145,16154,0
GSK.L,2011-02-01T16:16:27.686426000Z,Quote,,,1144.5,4637,1145,16454,0
GSK.L,2011-02-01T16:16:27.686426000Z,Quote,,,1144.5,4837,1145,16454,0
GSK.L,2011-02-01T16:16:27.686426000Z,Quote,,,1144.5,5167,1145,16454,0
GSK.L,2011-02-01T16:16:27.686426000Z,Quote,,,1144.5,5167,1145,16124,0
GSK.L,2011-02-01T16:16:27.736808000Z,Quote,,,1144.5,5167,1145,17356,0
GSK.L,2011-02-01T16:16:28.072206000Z,Quote,,,1144.5,4837,1145,17356,0
GSK.L,2011-02-01T16:16:28.259740000Z,Quote,,,1144.5,4837,1145,17686,0
GSK.L,2011-02-01T16:16:28.545955000Z,Quote,,,1144.5,4837,1145,16664,0
GSK.L,2011-02-01T16:16:29.617634000Z,Quote,,,1144.5,4837,1145,17263,0
GSK.L,2011-02-01T16:16:29.996178000Z,Quote,,,1144.5,4837,1145,16377,0
GSK.L,2011-02-01T16:16:33.378014000Z,Quote,,,1144.5,4837,1145,15377,0
GSK.L,2011-02-01T16:16:33.378014000Z,Quote,,,1144.5,5237,1145,15377,0
GSK.L,2011-02-01T16:16:33.464569000Z,Quote,,,1144.5,5237,1145,15349,0
GSK.L,2011-02-01T16:16:36.731511000Z,Quote,,,1144.5,5370,1145,15349,0
GSK.L,2011-02-01T16:16:37.891016000Z,Quote,,,1144.5,8076,1145,15349,0
GSK.L,2011-02-01T16:16:37.909267000Z,Quote,,,1144.5,8476,1145,15349,0
GSK.L,2011-02-01T16:16:37.974862000Z,Quote,,,1144.5,8476,1145,14719,0
GSK.L,2011-02-01T16:16:38.007250000Z,Trade,1145,267,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:38.007695000Z,Trade,1145,703,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:38.007695000Z,Trade,1145,6173,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:38.007695000Z,Quote,,,1144.5,8476,1145,7576,0
GSK.L,2011-02-01T16:16:38.007695000Z,Quote,,,1144.5,8776,1145,7576,0
GSK.L,2011-02-01T16:16:38.007695000Z,Quote,,,1144.5,8776,1145,7876,0
GSK.L,2011-02-01T16:16:38.007695000Z,Quote,,,1144.5,8776,1145,7546,0
GSK.L,2011-02-01T16:16:38.007695000Z,Quote,,,1144.5,9106,1145,7546,0
GSK.L,2011-02-01T16:16:38.007695000Z,Quote,,,1144.5,9106,1145,6956,0
GSK.L,2011-02-01T16:16:38.007695000Z,Trade,1145,1845,1144.5,,1145,,1
GSK.L,2011-02-01T16:16:38.007695000Z,Trade,1145,703,1144.5,,1145,,1
